id, time_ms, address, rssi, average
1, 2406, 65:02, -53, 0
2, 490, 65:02, -54, 0
3, 476, 65:02, -54, 0
4, 479, 65:02, -57, 0
5, 483, 65:02, -57, -55
6, 957, 65:02, -57, -56
7, 964, 65:02, -61, -58
8, 966, 65:02, -54, -57
9, 489, 65:02, -51, -55
10, 460, 65:02, -55, -55
11, 483, 65:02, -55, -53
12, 484, 65:02, -58, -54
13, 472, 65:02, -59, -56
14, 1458, 65:02, -57, -57
15, 964, 65:02, -53, -56
16, 465, 65:02, -59, -57
17, 479, 65:02, -55, -56
18, 1442, 65:02, -63, -57
19, 471, 65:02, -57, -58
20, 1441, 65:02, -58, -58
21, 1447, 65:02, -58, -59
22, 954, 65:02, -58, -57
23, 482, 65:02, -58, -58
24, 481, 65:02, -60, -58
25, 963, 65:02, -59, -58
26, 475, 65:02, -63, -60
27, 489, 65:02, -58, -60
28, 471, 65:02, -60, -60
29, 484, 65:02, -60, -60
30, 476, 65:02, -52, -57
31, 486, 65:02, -61, -58
32, 482, 65:02, -52, -56
33, 475, 65:02, -52, -54
34, 478, 65:02, -52, -54
35, 968, 65:02, -60, -54
36, 475, 65:02, -52, -54
37, 950, 65:02, -61, -56
38, 495, 65:02, -61, -58
39, 473, 65:02, -52, -56
40, 480, 65:02, -52, -56
41, 472, 65:02, -52, -54
42, 486, 65:02, -61, -54
43, 489, 65:02, -52, -54
44, 486, 65:02, -52, -54
45, 462, 65:02, -52, -54
46, 490, 65:02, -52, -52
47, 953, 65:02, -59, -53
48, 1925, 65:02, -61, -56
49, 470, 65:02, -61, -58
50, 488, 65:02, -60, -60
51, 478, 65:02, -52, -58
52, 1445, 65:02, -59, -58
53, 472, 65:02, -51, -55
54, 478, 65:02, -52, -53
55, 481, 65:02, -61, -55
56, 956, 65:02, -61, -56
57, 1461, 65:02, -59, -58
58, 468, 65:02, -52, -58
59, 956, 65:02, -60, -58
60, 486, 65:02, -52, -55
61, 478, 65:02, -51, -53
62, 472, 65:02, -61, -56
63, 1444, 65:02, -58, -55
64, 955, 65:02, -61, -57
65, 492, 65:02, -52, -58
66, 477, 65:02, -52, -55
67, 488, 65:02, -52, -54
68, 944, 65:02, -60, -54
69, 486, 65:02, -51, -53
70, 954, 65:02, -61, -56
71, 483, 65:02, -61, -58
72, 967, 65:02, -59, -58
73, 1436, 65:02, -52, -58
74, 482, 65:02, -61, -58
75, 953, 65:02, -61, -58
76, 484, 65:02, -61, -58
77, 482, 65:02, -61, -61
78, 484, 65:02, -59, -60
79, 1935, 65:02, -52, -58
80, 458, 65:02, -52, -56
81, 475, 65:02, -61, -56
82, 517, 65:02, -61, -56
83, 476, 65:02, -59, -58
84, 457, 65:02, -59, -60
85, 961, 65:02, -59, -59
86, 487, 65:02, -60, -59
87, 957, 65:02, -61, -59
88, 474, 65:02, -52, -58
89, 1459, 65:02, -59, -58
90, 942, 65:02, -60, -58
91, 495, 65:02, -52, -55
92, 463, 65:02, -52, -55
93, 958, 65:02, -53, -54
94, 472, 65:02, -55, -53
95, 486, 65:02, -60, -55
96, 494, 65:02, -53, -55
97, 491, 65:02, -47, -53
98, 455, 65:02, -64, -56
99, 991, 65:02, -60, -56
100, 453, 65:02, -51, -55
101, 948, 65:02, -58, -58
102, 485, 65:02, -60, -57
103, 955, 65:02, -61, -57
104, 970, 65:02, -58, -59
105, 481, 65:02, -65, -61
106, 471, 65:02, -58, -60
107, 480, 65:02, -66, -61
108, 481, 65:02, -58, -61
109, 962, 65:02, -60, -60
110, 482, 65:02, -62, -61
111, 479, 65:02, -58, -59
112, 956, 65:02, -51, -57
113, 486, 65:02, -66, -59
114, 487, 65:02, -65, -60
115, 967, 65:02, -58, -60
116, 468, 65:02, -51, -60
117, 979, 65:02, -47, -55
118, 471, 65:02, -51, -51
119, 464, 65:02, -56, -51
120, 962, 65:02, -46, -50
121, 958, 65:02, -58, -52
122, 484, 65:02, -57, -54
123, 955, 65:02, -52, -53
124, 967, 65:02, -50, -54
125, 482, 65:02, -54, -53
126, 475, 65:02, -57, -53
127, 482, 65:02, -59, -55
128, 1443, 65:02, -55, -56
129, 470, 65:02, -75, -61
130, 483, 65:02, -58, -61
131, 1012, 65:02, -55, -60
132, 425, 65:02, -59, -61
133, 487, 65:02, -61, -58
134, 486, 65:02, -67, -60
135, 951, 65:02, -64, -62
136, 486, 65:02, -63, -63
137, 497, 65:02, -62, -64
138, 479, 65:02, -65, -63
139, 460, 65:02, -66, -64
140, 960, 65:02, -70, -65
141, 476, 65:02, -69, -67
142, 478, 65:02, -65, -67
143, 1459, 65:02, -75, -69
144, 943, 65:02, -66, -68
145, 485, 65:02, -63, -67
146, 967, 65:02, -62, -66
147, 2386, 65:02, -77, -67
148, 480, 65:02, -84, -71
149, 486, 65:02, -80, -75
150, 477, 65:02, -73, -78
151, 479, 65:02, -78, -78
152, 483, 65:02, -81, -78
153, 478, 65:02, -77, -77
154, 482, 65:02, -82, -79
155, 974, 65:02, -85, -81
156, 483, 65:02, -81, -81
157, 946, 65:02, -87, -83
158, 478, 65:02, -87, -85
159, 477, 65:02, -90, -86
160, 479, 65:02, -91, -88
161, 496, 65:02, -93, -90
162, 471, 65:02, -86, -90
163, 497, 65:02, -89, -89
164, 473, 65:02, -88, -89
165, 482, 65:02, -92, -88
166, 494, 65:02, -90, -89
167, 2371, 65:02, -87, -89
168, 961, 65:02, -86, -88
169, 1432, 65:02, -91, -88
170, 971, 65:02, -85, -87
171, 469, 65:02, -90, -88
172, 976, 65:02, -85, -87
173, 497, 65:02, -91, -87
174, 1412, 65:02, -91, -89
175, 483, 65:02, -86, -88
176, 953, 65:02, -92, -90
177, 487, 65:02, -91, -90
178, 483, 65:02, -83, -88
179, 475, 65:02, -73, -84
180, 482, 65:02, -70, -79
181, 480, 65:02, -67, -73
182, 479, 65:02, -72, -70
183, 489, 65:02, -89, -74
184, 474, 65:02, -95, -80
185, 1444, 65:02, -97, -88
186, 473, 65:02, -86, -91
187, 477, 65:02, -85, -90
188, 963, 65:02, -81, -87
189, 476, 65:02, -81, -83
190, 479, 65:02, -83, -82
191, 481, 65:02, -82, -81
192, 960, 65:02, -92, -84
193, 482, 65:02, -89, -86
194, 1439, 65:02, -88, -87
195, 1444, 65:02, -96, -91
196, 478, 65:02, -96, -92
197, 2878, 65:02, -91, -92
198, 956, 65:02, -91, -93
199, 489, 65:02, -95, -93
200, 474, 65:02, -100, -94
201, 2396, 65:02, -98, -96
202, 3314, xx:xx, -120, -103
203, 3303, xx:xx, -120, -109
204, 591, 65:02, -97, -108
205, 2393, 65:02, -96, -108
206, 970, 65:02, -100, -103
207, 3307, xx:xx, -120, -103
208, 2929, 65:02, -100, -104
209, 476, 65:02, -94, -103
210, 1926, 65:02, -92, -101
211, 479, 65:02, -96, -95
212, 3302, xx:xx, -120, -100
213, 3303, xx:xx, -120, -107
214, 2513, 65:02, -95, -107
215, 479, 65:02, -97, -108
216, 3305, xx:xx, -120, -108
217, 550, 65:02, -98, -102
218, 462, 65:02, -96, -102
219, 488, 65:02, -97, -102
220, 2393, 65:02, -99, -97
221, 967, 65:02, -90, -95
222, 477, 65:02, -91, -94
223, 481, 65:02, -93, -93
224, 490, 65:02, -96, -92
225, 951, 65:02, -97, -94
226, 483, 65:02, -95, -95
227, 474, 65:02, -94, -95
228, 978, 65:02, -95, -95
229, 461, 65:02, -94, -94
230, 484, 65:02, -96, -94
231, 956, 65:02, -97, -95
232, 487, 65:02, -95, -95
233, 481, 65:02, -87, -93
234, 477, 65:02, -95, -93
235, 481, 65:02, -77, -88
236, 478, 65:02, -78, -84
237, 965, 65:02, -79, -82
238, 469, 65:02, -79, -78
239, 970, 65:02, -85, -80
240, 475, 65:02, -81, -81
241, 482, 65:02, -90, -83
242, 477, 65:02, -88, -86
243, 478, 65:02, -86, -86
244, 481, 65:02, -87, -87
245, 482, 65:02, -81, -85
246, 481, 65:02, -84, -84
247, 483, 65:02, -80, -83
248, 490, 65:02, -77, -80
249, 475, 65:02, -81, -80
250, 474, 65:02, -74, -78
251, 491, 65:02, -81, -78
252, 471, 65:02, -76, -78
253, 958, 65:02, -85, -79
254, 2873, 65:02, -99, -85
255, 965, 65:02, -92, -88
256, 489, 65:02, -101, -94
257, 1928, 65:02, -94, -96
258, 467, 65:02, -102, -97
259, 1433, 65:02, -96, -98
260, 480, 65:02, -105, -99
261, 3312, xx:xx, -120, -105
262, 2933, 65:02, -93, -103
263, 478, 65:02, -99, -104
264, 1937, 65:02, -101, -103
265, 1429, 65:02, -100, -98
266, 3309, xx:xx, -120, -105
267, 3310, xx:xx, -120, -110
268, 3314, xx:xx, -120, -115
269, 617, 65:02, -99, -114
270, 3347, xx:xx, -120, -114
271, 3334, xx:xx, -120, -114
272, 3295, xx:xx, -120, -114
273, 587, 65:02, -100, -115
274, 960, 65:02, -95, -108
275, 485, 65:02, -99, -103
276, 1914, 65:02, -94, -97
277, 483, 65:02, -95, -95
278, 2883, 65:02, -94, -95
279, 1441, 65:02, -91, -93
280, 478, 65:02, -96, -94
281, 2394, 65:02, -93, -93
282, 1920, 65:02, -92, -93
283, 1925, 65:02, -93, -93
284, 1438, 65:02, -100, -94
285, 972, 65:02, -89, -93
286, 2873, 65:02, -100, -95
287, 954, 65:02, -96, -96
288, 977, 65:02, -97, -95
289, 1900, 65:02, -101, -98
290, 3292, xx:xx, -120, -103
291, 1033, 65:02, -94, -103
292, 2395, 65:02, -97, -103
293, 2403, 65:02, -99, -102
294, 3300, xx:xx, -120, -102
295, 3305, xx:xx, -120, -109
296, 3300, xx:xx, -120, -114
297, 1621, 65:02, -98, -114
298, 3295, xx:xx, -120, -114
299, 552, 65:02, -98, -109
300, 3291, xx:xx, -120, -109
301, 542, 65:02, -95, -108
302, 3345, xx:xx, -120, -108
303, 1467, 65:02, -97, -108
304, 1910, 65:02, -94, -101
305, 477, 65:02, -96, -101
306, 2879, 65:02, -97, -96
307, 1918, 65:02, -99, -96
308, 3299, xx:xx, -120, -103
309, 546, 65:02, -85, -100
310, 1938, 65:02, -92, -99
311, 1895, 65:02, -97, -98
312, 483, 65:02, -98, -93
313, 482, 65:02, -97, -96
314, 3306, xx:xx, -120, -103
315, 1011, 65:02, -95, -102
316, 1462, 65:02, -101, -103
317, 942, 65:02, -97, -103
318, 3337, xx:xx, -120, -103
319, 499, 65:02, -91, -102
320, 3298, xx:xx, -120, -107
321, 3307, xx:xx, -120, -112
322, 1088, 65:02, -99, -107
323, 2383, 65:02, -92, -107
324, 484, 65:02, -93, -101
325, 3299, xx:xx, -120, -101
326, 3300, xx:xx, -120, -106
327, 602, 65:02, -102, -108
328, 1938, 65:02, -94, -109
329, 2866, 65:02, -97, -103
330, 1436, 65:02, -98, -97
331, 479, 65:02, -102, -97
332, 3298, xx:xx, -120, -104
333, 2464, 65:02, -92, -103
334, 1918, 65:02, -95, -102
335, 2880, 65:02, -95, -100
336, 2427, 65:02, -95, -94
337, 460, 65:02, -95, -95
338, 953, 65:02, -92, -94
339, 1925, 65:02, -98, -95
340, 956, 65:02, -93, -94
341, 3315, xx:xx, -120, -100
342, 2453, 65:02, -95, -101
343, 472, 65:02, -97, -101
344, 493, 65:02, -89, -100
345, 3300, xx:xx, -120, -100
346, 529, 65:02, -99, -101
347, 961, 65:02, -97, -101
348, 1448, 65:02, -95, -102
349, 951, 65:02, -104, -98
350, 3344, xx:xx, -120, -104
351, 1460, 65:02, -96, -103
352, 1915, 65:02, -102, -105
353, 3310, xx:xx, -120, -109
354, 3316, xx:xx, -120, -109
355, 3305, xx:xx, -120, -115
356, 1592, 65:02, -102, -115
357, 3305, xx:xx, -120, -115
358, 2934, 65:02, -98, -110
359, 3306, xx:xx, -120, -110
360, 534, 65:02, -97, -108
361, 479, 65:02, -97, -103
362, 2877, 65:02, -95, -102
363, 989, 65:02, -99, -97
364, 462, 65:02, -96, -96
365, 478, 65:02, -95, -96
366, 2394, 65:02, -101, -97
367, 3315, xx:xx, -120, -103
368, 522, 65:02, -92, -102
369, 964, 65:02, -95, -102
370, 1450, 65:02, -90, -99
371, 1430, 65:02, -101, -94
372, 1923, 65:02, -95, -95
373, 1436, 65:02, -96, -95
374, 2400, 65:02, -95, -96
375, 3316, xx:xx, -120, -101
376, 1006, 65:02, -96, -101
377, 2881, 65:02, -99, -102
378, 1921, 65:02, -100, -103
379, 1439, 65:02, -100, -98
380, 975, 65:02, -97, -99
381, 1424, 65:02, -102, -99
382, 1918, 65:02, -93, -98
383, 486, 65:02, -98, -97
384, 2885, 65:02, -99, -98
385, 3307, xx:xx, -120, -102
386, 1484, 65:02, -97, -103
387, 3307, xx:xx, -120, -109
388, 1967, 65:02, -93, -107
389, 965, 65:02, -101, -102
390, 3307, xx:xx, -120, -108
391, 3329, xx:xx, -120, -108
392, 1055, 65:02, -97, -109
393, 2387, 65:02, -93, -107
394, 489, 65:02, -99, -102
395, 1914, 65:02, -100, -97
396, 3308, xx:xx, -120, -103
397, 523, 65:02, -95, -103
398, 1932, 65:02, -98, -103
399, 480, 65:02, -97, -102
400, 1433, 65:02, -97, -96
401, 483, 65:02, -91, -95
402, 980, 65:02, -99, -96
403, 464, 65:02, -94, -95
404, 477, 65:02, -97, -95
405, 1454, 65:02, -94, -96
406, 961, 65:02, -91, -94
407, 2385, 65:02, -89, -92
408, 952, 65:02, -97, -92
409, 1441, 65:02, -99, -94
410, 1443, 65:02, -101, -96
411, 2421, 65:02, -92, -97
412, 3308, xx:xx, -120, -103
413, 1955, 65:02, -100, -103
414, 962, 65:02, -100, -103
415, 3313, xx:xx, -120, -110
416, 3308, xx:xx, -120, -110
417, 1054, 65:02, -99, -109
418, 3316, xx:xx, -120, -114
419, 2928, 65:02, -100, -109
420, 3291, xx:xx, -120, -109
421, 550, 65:02, -95, -108
422, 3308, xx:xx, -120, -108
423, 3289, xx:xx, -120, -113
424, 603, 65:02, -96, -107
425, 3305, xx:xx, -120, -114
426, 1014, 65:02, -96, -108
427, 492, 65:02, -98, -102
428, 2864, 65:02, -92, -101
429, 477, 65:02, -96, -95
430, 2409, 65:02, -94, -95
