   id, time,  addr, rssi,  ave, lane
    0, 1275, 65:02,  -67,  -58,    0
    1,  483, 65:02,  -65,  -66,    0
    2,  481, 65:02,  -60,  -62,    0
    3,  472, 65:02,  -65,  -62,    0
    4,  485, 65:02,  -69,  -67,    0
    5,  475, 65:02,  -63,  -66,    0
    6,  482, 65:02,  -66,  -64,    0
    7,  478, 65:02,  -62,  -64,    0
    8,  482, 65:02,  -69,  -65,    0
    9,  484, 65:02,  -65,  -67,    0
   10,  484, 65:02,  -69,  -67,    0
   11,  477, 65:02,  -58,  -63,    0
   12,  479, 65:02,  -65,  -61,    0
   13,  479, 65:02,  -74,  -69,    0
   14,  958, 65:02,  -66,  -70,    0
   15,  959, 65:02,  -72,  -69,    0
   16,  486, 65:02,  -71,  -71,    0
   17,  473, 65:02,  -72,  -71,    0
   18,  478, 65:02,  -71,  -71,    0
   19,  480, 65:02,  -68,  -69,    0
   20,  478, 65:02,  -72,  -70,    0
   21,  501, 65:02,  -68,  -70,    0
   22,  458, 65:02,  -70,  -69,    0
   23,  480, 65:02,  -73,  -71,    0
   24,  490, 65:02,  -81,  -77,    0
   25,  477, 65:02,  -73,  -77,    0
   26,  480, 65:02,  -70,  -71,    0
   27,  482, 65:02,  -76,  -73,    0
   28, 1440, 65:02,  -82,  -79,    0
   29,  473, 65:02,  -82,  -82,    0
   30,  485, 65:02,  -84,  -83,    0
   31,  481, 65:02,  -81,  -82,    0
   32,  473, 65:02,  -82,  -81,    0
   33,  967, 65:02,  -78,  -80,    0
   34,  473, 65:02,  -84,  -81,    0
   35,  492, 65:02,  -82,  -83,    0
   36,  470, 65:02,  -85,  -83,    0
   37,  487, 65:02,  -88,  -86,    0
   38,  479, 65:02,  -90,  -89,    0
   39,  477, 65:02,  -95,  -92,    0
   40,  473, 65:02,  -84,  -89,    0
   41,  488, 65:02,  -86,  -85,    0
   42,  479, 65:02,  -81,  -83,    0
   43,  481, 65:02,  -78,  -79,    0
   44,  482, 65:02,  -81,  -79,    0
   45,  478, 65:02,  -81,  -81,    0
   46,  474, 65:02,  -90,  -85,    0
   47,  508, 65:02,  -91,  -90,    0
   48,  458, 65:02,  -92,  -91,    0
   49,  478, 65:02,  -79,  -85,    0
   50,  479, 65:02,  -72,  -75,    0
   51,  479, 65:02,  -78,  -75,    0
   52,  481, 65:02,  -78,  -78,    0
   53,  477, 65:02,  -75,  -76,    0
   54,  483, 65:02,  -79,  -77,    0
   55,  991, 65:02,  -73,  -76,    0
   56,  477, 65:02,  -68,  -70,    0
   57,  454, 65:02,  -88,  -78,    0
   58,  483, 65:02,  -77,  -82,    0
   59,  476, 65:02,  -81,  -79,    0
   60,  481, 65:02,  -86,  -83,    0
   61,  477, 65:02,  -79,  -82,    0
   62,  481, 65:02,  -86,  -82,    0
   63,  485, 65:02,  -96,  -91,    0
   64,  478, 65:02,  -84,  -90,    0
   65,  473, 65:02,  -89,  -86,    0
   66,  485, 65:02,  -85,  -87,    0
   67,  481, 65:02,  -91,  -88,    0
   68, 1441, 65:02,  -88,  -89,    0
   69,  480, 65:02,  -83,  -85,    0
   70,  486, 65:02,  -81,  -82,    0
   71,  471, 65:02,  -87,  -84,    0
   72,  962, 65:02,  -83,  -85,    0
   73,  476, 65:02,  -89,  -86,    0
   74,  517, 65:02,  -84,  -86,    0
   75,  471, 65:02,  -80,  -82,    0
   76,  455, 65:02,  -86,  -83,    0
   77,  983, 65:02,  -94,  -90,    0
   78,  464, 65:02,  -83,  -88,    0
   79,  948, 65:02,  -90,  -86,    0
   80,  484, 65:02,  -83,  -86,    0
   81,  503, 65:02,  -85,  -84,    0
   82,  935, 65:02,  -77,  -81,    0
   83,  486, 65:02,  -70,  -73,    0
   84,  481, 65:02,  -76,  -73,    0
