   id, time,  addr, rssi,  ave, lane
    0, 2177, 65:02,  -70,  -60,    0
    1,  469, 65:02,  -70,  -70,    0
    2,  480, 65:02,  -70,  -70,    0
    3,  485, 65:02,  -67,  -68,    0
    4,  474, 65:02,  -69,  -68,    0
    5,  486, 65:02,  -76,  -72,    0
    6,  954, 65:02,  -75,  -75,    0
    7,  493, 65:02,  -77,  -76,    0
    8,  475, 65:02,  -73,  -75,    0
    9,  475, 65:02,  -74,  -73,    0
   10,  480, 65:02,  -78,  -76,    0
   11,  484, 65:02,  -71,  -74,    0
   12,  482, 65:02,  -70,  -70,    0
   13,  951, 65:02,  -69,  -69,    0
   14,  963, 65:02,  -69,  -69,    0
   15,  478, 65:02,  -73,  -71,    0
   16,  483, 65:02,  -71,  -72,    0
   17,  959, 65:02,  -68,  -69,    0
   18,  484, 65:02,  -64,  -66,    0
   19,  481, 65:02,  -52,  -58,    0
   20,  473, 65:02,  -61,  -56,    0
   21,  494, 65:02,  -66,  -63,    0
   22,  472, 65:02,  -66,  -66,    0
   23,  486, 65:02,  -62,  -64,    0
   24,  469, 65:02,  -63,  -62,    0
   25,  475, 65:02,  -56,  -59,    0
   26,  483, 65:02,  -56,  -56,    0
   27,  482, 65:02,  -66,  -61,    0
   28,  487, 65:02,  -62,  -64,    0
   29,  482, 65:02,  -51,  -56,    0
   30,  474, 65:02,  -59,  -55,    0
   31,  483, 65:02,  -72,  -65,    0
   32,  471, 65:02,  -74,  -73,    0
   33,  491, 65:02,  -59,  -66,    0
   34,  476, 65:02,  -47,  -53,    0
   35,  473, 65:02,  -40,  -43,    0
   36,  504, 65:02,  -51,  -45,    0
   37,  950, 65:02,  -47,  -49,    0
   38,  466, 65:02,  -45,  -46,    0
   39,  490, 65:02,  -45,  -45,    0
   40,  469, 65:02,  -45,  -45,    0
   41,  486, 65:02,  -45,  -45,    0
   42,  479, 65:02,  -45,  -45,    0
   43,  964, 65:02,  -46,  -45,    0
   44,  476, 65:02,  -47,  -46,    0
   45,  477, 65:02,  -47,  -47,    0
   46,  486, 65:02,  -47,  -47,    0
   47,  481, 65:02,  -45,  -46,    0
   48,  485, 65:02,  -45,  -45,    0
   49,  949, 65:02,  -45,  -45,    0
   50,  477, 65:02,  -45,  -45,    0
   51,  483, 65:02,  -44,  -44,    0
   52,  486, 65:02,  -43,  -43,    0
   53,  479, 65:02,  -44,  -43,    0
   54,  474, 65:02,  -46,  -45,    0
   55,  480, 65:02,  -44,  -45,    0
   56,  480, 65:02,  -43,  -43,    0
   57,  485, 65:02,  -45,  -44,    0
   58,  482, 65:02,  -45,  -45,    0
   59,  478, 65:02,  -43,  -44,    0
   60,  476, 65:02,  -45,  -44,    0
   61,  486, 65:02,  -41,  -43,    0
   62,  472, 65:02,  -43,  -42,    0
   63,  485, 65:02,  -41,  -42,    0
   64,  495, 65:02,  -45,  -43,    0
   65,  465, 65:02,  -46,  -45,    0
   66,  483, 65:02,  -44,  -45,    0
   67,  963, 65:02,  -41,  -42,    0
   68,  479, 65:02,  -38,  -39,    0
   69,  478, 65:02,  -41,  -39,    0
   70,  472, 65:02,  -43,  -42,    0
   71,  512, 65:02,  -41,  -42,    0
   72,  453, 65:02,  -41,  -41,    0
   73,  482, 65:02,  -42,  -41,    0
   74,  506, 65:02,  -43,  -42,    0
   75,  474, 65:02,  -41,  -42,    0
   76,  468, 65:02,  -41,  -41,    0
   77,  495, 65:02,  -42,  -41,    0
   78,  487, 65:02,  -42,  -42,    0
   79,  445, 65:02,  -42,  -42,    0
   80,  486, 65:02,  -41,  -41,    0
   81,  952, 65:02,  -43,  -42,    0
   82,  510, 65:02,  -42,  -42,    0
   83,  454, 65:02,  -42,  -42,    0
   84,  480, 65:02,  -41,  -41,    0
   85,  476, 65:02,  -41,  -41,    0
   86,  482, 65:02,  -41,  -41,    0
   87,  963, 65:02,  -41,  -41,    0
   88,  479, 65:02,  -41,  -41,    0
   89,  475, 65:02,  -43,  -42,    0
   90,  484, 65:02,  -42,  -42,    0
   91,  478, 65:02,  -42,  -42,    0
   92,  959, 65:02,  -42,  -42,    0
   93,  487, 65:02,  -42,  -42,    0
   94,  474, 65:02,  -41,  -41,    0
   95,  485, 65:02,  -41,  -41,    0
   96,  478, 65:02,  -42,  -41,    0
   97,  476, 65:02,  -41,  -41,    0
   98,  482, 65:02,  -42,  -41,    0
   99,  478, 65:02,  -41,  -41,    0
  100,  482, 65:02,  -42,  -41,    0
  101,  503, 65:02,  -41,  -41,    0
  102,  454, 65:02,  -41,  -41,    0
  103,  487, 65:02,  -41,  -41,    0
  104,  479, 65:02,  -42,  -41,    0
  105,  474, 65:02,  -41,  -41,    0
  106,  964, 65:02,  -41,  -41,    0
  107,  971, 65:02,  -41,  -41,    0
  108,  474, 65:02,  -41,  -41,    0
  109,  479, 65:02,  -43,  -42,    0
  110,  480, 65:02,  -41,  -42,    0
  111,  478, 65:02,  -43,  -42,    0
  112,  481, 65:02,  -42,  -42,    0
  113,  481, 65:02,  -41,  -41,    0
  114,  477, 65:02,  -40,  -40,    0
  115,  481, 65:02,  -41,  -40,    0
  116,  474, 65:02,  -42,  -41,    0
  117,  481, 65:02,  -42,  -42,    0
  118,  484, 65:02,  -42,  -42,    0
  119,  478, 65:02,  -41,  -41,    0
  120,  479, 65:02,  -41,  -41,    0
  121,  485, 65:02,  -42,  -41,    0
  122,  475, 65:02,  -40,  -41,    0
  123,  484, 65:02,  -42,  -41,    0
  124,  481, 65:02,  -41,  -41,    0
  125,  485, 65:02,  -42,  -41,    0
  126, 1435, 65:02,  -40,  -41,    0
  127,  474, 65:02,  -42,  -41,    0
  128,  482, 65:02,  -42,  -42,    0
  129,  477, 65:02,  -42,  -42,    0
  130,  485, 65:02,  -42,  -42,    0
  131,  476, 65:02,  -42,  -42,    0
  132,  482, 65:02,  -42,  -42,    0
  133,  482, 65:02,  -43,  -42,    0
  134,  480, 65:02,  -41,  -42,    0
  135,  483, 65:02,  -41,  -41,    0
  136,  481, 65:02,  -41,  -41,    0
  137,  479, 65:02,  -42,  -41,    0
  138,  480, 65:02,  -43,  -42,    0
  139,  479, 65:02,  -42,  -42,    0
  140,  498, 65:02,  -42,  -42,    0
  141,  462, 65:02,  -43,  -42,    0
  142,  502, 65:02,  -43,  -43,    0
  143,  460, 65:02,  -41,  -42,    0
  144,  478, 65:02,  -42,  -41,    0
  145,  474, 65:02,  -41,  -41,    0
  146,  485, 65:02,  -41,  -41,    0
  147,  484, 65:02,  -42,  -41,    0
  148,  476, 65:02,  -42,  -42,    0
  149,  959, 65:02,  -41,  -41,    0
  150,  475, 65:02,  -42,  -41,    0
  151,  487, 65:02,  -43,  -42,    0
  152,  475, 65:02,  -42,  -42,    0
  153,  510, 65:02,  -43,  -42,    0
  154,  451, 65:02,  -40,  -41,    0
  155,  480, 65:02,  -43,  -41,    0
  156,  477, 65:02,  -43,  -43,    0
  157,  482, 65:02,  -43,  -43,    0
  158,  480, 65:02,  -42,  -42,    0
  159,  509, 65:02,  -43,  -42,    0
  160,  470, 65:02,  -40,  -41,    0
  161,  491, 65:02,  -42,  -41,    0
  162,  451, 65:02,  -41,  -41,    0
  163,  480, 65:02,  -43,  -42,    0
  164,  482, 65:02,  -42,  -42,    0
  165,  958, 65:02,  -42,  -42,    0
  166,  508, 65:02,  -41,  -41,    0
  167,  469, 65:02,  -40,  -40,    0
  168, 1427, 65:02,  -42,  -41,    0
  169,  480, 65:02,  -42,  -42,    0
  170,  960, 65:02,  -42,  -42,    0
  171,  474, 65:02,  -42,  -42,    0
  172,  488, 65:02,  -43,  -42,    0
  173,  472, 65:02,  -42,  -42,    0
  174,  513, 65:02,  -41,  -41,    0
  175,  447, 65:02,  -41,  -41,    0
  176,  484, 65:02,  -41,  -41,    0
  177,  480, 65:02,  -42,  -41,    0
  178,  480, 65:02,  -42,  -42,    0
  179,  501, 65:02,  -43,  -42,    0
  180,  501, 65:02,  -41,  -42,    0
  181,  916, 65:02,  -41,  -41,    0
  182,  485, 65:02,  -42,  -41,    0
  183,  476, 65:02,  -40,  -41,    0
  184,  480, 65:02,  -42,  -41,    0
  185,  481, 65:02,  -42,  -42,    0
  186,  477, 65:02,  -40,  -41,    0
  187,  483, 65:02,  -42,  -41,    0
  188,  476, 65:02,  -42,  -42,    0
  189,  482, 65:02,  -41,  -41,    0
  190,  483, 65:02,  -42,  -41,    0
  191,  475, 65:02,  -41,  -41,    0
  192,  483, 65:02,  -41,  -41,    0
  193,  478, 65:02,  -42,  -41,    0
  194,  960, 65:02,  -42,  -42,    0
  195,  480, 65:02,  -42,  -42,    0
  196,  485, 65:02,  -42,  -42,    0
  197,  475, 65:02,  -41,  -41,    0
  198,  958, 65:02,  -42,  -41,    0
  199,  490, 65:02,  -41,  -41,    0
  200,  479, 65:02,  -41,  -41,    0
  201,  477, 65:02,  -41,  -41,    0
  202,  503, 65:02,  -41,  -41,    0
  203,  940, 65:02,  -41,  -41,    0
  204,  958, 65:02,  -43,  -42,    0
  205,  953, 65:02,  -42,  -42,    0
  206,  481, 65:02,  -41,  -41,    0
  207,  478, 65:02,  -42,  -41,    0
  208,  489, 65:02,  -41,  -41,    0
  209,  479, 65:02,  -42,  -41,    0
  210,  481, 65:02,  -43,  -42,    0
  211,  492, 65:02,  -42,  -42,    0
  212,  941, 65:02,  -43,  -42,    0
  213, 1441, 65:02,  -41,  -42,    0
  214,  486, 65:02,  -42,  -41,    0
  215,  479, 65:02,  -41,  -41,    0
  216,  479, 65:02,  -42,  -41,    0
  217,  953, 65:02,  -41,  -41,    0
